tweet_id,text,created_at,user_followers,user_friends,retweet_count,favorite_count
tweet_00001,"polisi mengamankan pelaku, terkait korupsi. Masyarakat diminta tetap waspada.",2024-02-08 02:46:00,6275,471,4426,5578
tweet_00002,"warga merasa aman, kondisi polisi terus dipantau oleh pihak terkait.",2024-08-16 17:25:00,779,2396,2433,5311
tweet_00003,"keamanan terus ditingkatkan, kondisi aman terus dipantau oleh pihak terkait.",2024-08-29 06:49:00,28703,4848,2904,8666
tweet_00004,"keamanan terus ditingkatkan, kondisi warga terus dipantau oleh pihak terkait.",2024-11-10 03:26:00,199,2739,3005,4658
tweet_00005,"terjadi kasus, terkait pembunuhan. Masyarakat diminta tetap waspada.",2024-07-08 22:58:00,3566,3895,646,5393
tweet_00006,"polisi melakukan patroli, kondisi tertib terus dipantau oleh pihak terkait.",2024-10-16 15:53:00,2622,1368,1478,775
tweet_00007,"kasus sedang diselidiki, terkait pencurian. Masyarakat diminta tetap waspada.",2024-11-15 16:17:00,3953,3078,1021,3843
tweet_00008,"pelaku berhasil ditangkap, terkait perampokan. Masyarakat diminta tetap waspada.",2024-05-20 11:23:00,171,4302,1981,995
tweet_00009,"kondisi kota tertib, kondisi informasi terus dipantau oleh pihak terkait.",2024-09-02 12:11:00,1026,342,878,9268
tweet_00010,"keamanan terus ditingkatkan, kondisi kota terus dipantau oleh pihak terkait.",2024-10-27 05:15:00,8581,497,2062,64
tweet_00011,"terjadi kasus, terkait penganiayaan. Masyarakat diminta tetap waspada.",2024-04-02 21:27:00,48200,396,4514,5892
tweet_00012,"situasi tetap aman, kondisi warga terus dipantau oleh pihak terkait.",2024-07-16 18:46:00,8402,4880,3104,7215
tweet_00013,"polisi mengamankan pelaku, terkait korupsi. Masyarakat diminta tetap waspada.",2024-12-05 23:30:00,19125,2778,1570,5056
tweet_00014,"terjadi kasus, terkait penipuan. Masyarakat diminta tetap waspada.",2024-05-28 15:00:00,33280,4498,870,6938
tweet_00015,"polisi melakukan patroli, kondisi warga terus dipantau oleh pihak terkait.",2024-06-25 02:58:00,48712,868,2790,7408
tweet_00016,"kejadian tersebut meresahkan warga, terkait pembunuhan. Masyarakat diminta tetap waspada.",2024-03-14 12:38:00,6384,1683,3242,4636
tweet_00017,"warga menjadi korban, terkait curanmor. Masyarakat diminta tetap waspada.",2024-09-20 21:09:00,22309,2630,2729,9789
tweet_00018,"keamanan terus ditingkatkan, kondisi berita terus dipantau oleh pihak terkait.",2024-05-19 01:15:00,25949,1986,1663,9721
tweet_00019,"kejadian tersebut meresahkan warga, terkait penganiayaan. Masyarakat diminta tetap waspada.",2024-11-11 16:29:00,6786,2680,1282,7526
tweet_00020,"kejadian tersebut meresahkan warga, terkait penganiayaan. Masyarakat diminta tetap waspada.",2024-06-07 17:36:00,32572,4784,663,1998
tweet_00021,"terjadi kasus, terkait korupsi. Masyarakat diminta tetap waspada.",2024-03-23 06:11:00,46586,4664,1291,3581
tweet_00022,"situasi tetap aman, kondisi keamanan terus dipantau oleh pihak terkait.",2024-03-05 18:24:00,49860,2165,4097,4737
tweet_00023,"polisi mengamankan pelaku, terkait curanmor. Masyarakat diminta tetap waspada.",2024-10-26 21:19:00,7402,3479,1707,5791
tweet_00024,"keamanan terus ditingkatkan, kondisi masyarakat terus dipantau oleh pihak terkait.",2024-05-07 14:14:00,32980,3260,4218,8958
tweet_00025,"keamanan terus ditingkatkan, kondisi patroli terus dipantau oleh pihak terkait.",2024-03-14 16:01:00,207,1935,3582,6287
tweet_00026,"masyarakat tetap waspada, kondisi berita terus dipantau oleh pihak terkait.",2024-08-04 15:15:00,2821,1374,1986,8338
tweet_00027,"kasus sedang diselidiki, terkait curanmor. Masyarakat diminta tetap waspada.",2024-10-06 02:16:00,19370,1964,2385,4736
tweet_00028,"situasi tetap aman, kondisi kota terus dipantau oleh pihak terkait.",2024-09-17 05:05:00,47264,4066,3369,262
tweet_00029,"situasi tetap aman, kondisi warga terus dipantau oleh pihak terkait.",2024-04-12 09:23:00,11845,4981,2049,5423
tweet_00030,"masyarakat tetap waspada, kondisi patroli terus dipantau oleh pihak terkait.",2024-07-21 18:39:00,7168,2061,3170,9874
tweet_00031,"keamanan terus ditingkatkan, kondisi keamanan terus dipantau oleh pihak terkait.",2024-09-26 14:15:00,12193,4728,4682,1648
tweet_00032,"kasus sedang diselidiki, terkait begal. Masyarakat diminta tetap waspada.",2024-12-24 13:49:00,48364,3188,2557,5592
tweet_00033,"kondisi kota tertib, kondisi tertib terus dipantau oleh pihak terkait.",2024-02-23 19:45:00,2879,3239,3791,956
tweet_00034,"kasus sedang diselidiki, terkait pencurian. Masyarakat diminta tetap waspada.",2024-11-29 08:47:00,3997,1532,1218,4496
tweet_00035,"kejadian tersebut meresahkan warga, terkait penipuan. Masyarakat diminta tetap waspada.",2024-07-14 19:34:00,17439,1698,3436,8754
tweet_00036,"masyarakat tetap waspada, kondisi tertib terus dipantau oleh pihak terkait.",2024-09-07 00:32:00,39800,964,4548,7996
tweet_00037,"warga menjadi korban, terkait pembunuhan. Masyarakat diminta tetap waspada.",2024-11-20 06:40:00,18599,2529,1069,3444
tweet_00038,"masyarakat tetap waspada, kondisi kota terus dipantau oleh pihak terkait.",2024-10-13 01:27:00,3430,306,4276,606
tweet_00039,"keamanan terus ditingkatkan, kondisi aman terus dipantau oleh pihak terkait.",2024-02-15 15:26:00,10502,985,2975,6102
tweet_00040,"pelaku berhasil ditangkap, terkait penipuan. Masyarakat diminta tetap waspada.",2024-12-22 18:38:00,23103,574,1895,2733
tweet_00041,"pelaku berhasil ditangkap, terkait begal. Masyarakat diminta tetap waspada.",2024-02-09 13:18:00,16548,2542,1409,784
tweet_00042,"warga merasa aman, kondisi kota terus dipantau oleh pihak terkait.",2024-12-12 10:23:00,39984,2811,537,5986
tweet_00043,"polisi mengamankan pelaku, terkait korupsi. Masyarakat diminta tetap waspada.",2024-06-01 18:03:00,22019,2955,4131,4780
